Gmt time,Open,Close,High,Low,Volume
2017-05-01 00:00:00,1.29316,1.29281,1.2934,1.29276,875.06
2017-05-01 00:15:00,1.29282,1.29293,1.29293,1.29249,775.71
2017-05-01 00:30:00,1.29293,1.29254,1.29298,1.29254,1041.63
2017-05-01 00:45:00,1.29254,1.29267,1.29297,1.29244,930.08
2017-05-01 01:00:00,1.29266,1.29202,1.29279,1.29185,731.79
2017-05-01 01:15:00,1.29202,1.29148,1.29219,1.29148,809.49
2017-05-01 01:30:00,1.2915,1.29063,1.2915,1.2905,1239.36
2017-05-01 01:45:00,1.29064,1.29084,1.29095,1.2904,1019.14
2017-05-01 02:00:00,1.29084,1.29137,1.29141,1.29084,780.51
2017-05-01 02:15:00,1.29136,1.29138,1.29144,1.29107,740.74
2017-05-01 02:30:00,1.29137,1.29153,1.29175,1.29134,862.48
2017-05-01 02:45:00,1.29153,1.29147,1.29159,1.29146,947.52
2017-05-01 03:00:00,1.29147,1.29117,1.29153,1.29113,917.51
2017-05-01 03:15:00,1.29117,1.29106,1.29122,1.2909,558.21
2017-05-01 03:30:00,1.29106,1.29112,1.29117,1.29095,365.51
2017-05-01 03:45:00,1.29112,1.29116,1.29126,1.29095,494.41
2017-05-01 04:00:00,1.29119,1.29117,1.29126,1.29114,771.87
2017-05-01 04:15:00,1.29118,1.29095,1.2912,1.29094,480.8
2017-05-01 04:30:00,1.29094,1.29061,1.2911,1.29059,724.32
2017-05-01 04:45:00,1.29061,1.29085,1.29093,1.29055,434.46
2017-05-01 05:00:00,1.29086,1.29071,1.29093,1.29067,606.62
2017-05-01 05:15:00,1.2907,1.29063,1.29084,1.29034,475.22
2017-05-01 05:30:00,1.29063,1.29085,1.29092,1.29056,476.85
2017-05-01 05:45:00,1.29085,1.29075,1.29092,1.29008,850.31
2017-05-01 06:00:00,1.29075,1.29109,1.29195,1.29053,1493.96
2017-05-01 06:15:00,1.29108,1.29124,1.29141,1.29102,569.75
2017-05-01 06:30:00,1.29123,1.29124,1.29188,1.2912,789.16
2017-05-01 06:45:00,1.29128,1.29091,1.2915,1.29089,645.46
2017-05-01 07:00:00,1.29093,1.29162,1.29191,1.29086,1043.88
2017-05-01 07:15:00,1.29163,1.29211,1.29211,1.2915,957.83
2017-05-01 07:30:00,1.29211,1.29203,1.29233,1.29197,679.87
2017-05-01 07:45:00,1.29203,1.29161,1.2923,1.29154,924.55
2017-05-01 08:00:00,1.29162,1.29192,1.29194,1.29162,620.64
2017-05-01 08:15:00,1.29192,1.29231,1.29232,1.29181,599.02997
2017-05-01 08:30:00,1.2923,1.29242,1.29257,1.29226,692.97003
2017-05-01 08:45:00,1.29244,1.29223,1.29255,1.29175,802.33
2017-05-01 09:00:00,1.29224,1.29217,1.29257,1.29215,452.24002
2017-05-01 09:15:00,1.29217,1.29252,1.29252,1.29189,663.25
