Gmt time,Open,High,Low,Close,Volume
30.04.2017 21:00:00.000,1.29267,1.29837,1.28308,1.29753,613800.1921999997
07.05.2017 21:00:00.000,1.29817,1.29888,1.28447,1.28848,763440.2485000001
14.05.2017 21:00:00.000,1.28752,1.30476,1.28654,1.30349,812244.1090999997
21.05.2017 21:00:00.000,1.29901,1.30429,1.27754,1.28032,719177.5214000003
28.05.2017 21:00:00.000,1.28008,1.29208,1.27692,1.28894,602136.3995
04.06.2017 21:00:00.000,1.28570,1.29774,1.26352,1.27365,674574.7995999998
11.06.2017 21:00:00.000,1.27133,1.28177,1.26385,1.27726,698564.8318000003
18.06.2017 21:00:00.000,1.27553,1.28144,1.25890,1.27159,691598.3574000006
25.06.2017 21:00:00.000,1.27330,1.30298,1.27061,1.30183,736015.6906000002
02.07.2017 21:00:00.000,1.30039,1.30232,1.28666,1.28864,670334.1790999998
09.07.2017 21:00:00.000,1.28767,1.31135,1.28116,1.30973,626487.4822000001
16.07.2017 21:00:00.000,1.30968,1.31253,1.29329,1.29931,691249.0483999999
23.07.2017 21:00:00.000,1.29878,1.31585,1.29873,1.31335,681156.0133000001
30.07.2017 21:00:00.000,1.31227,1.32679,1.30238,1.30366,611391.72
06.08.2017 21:00:00.000,1.30354,1.30589,1.29393,1.30078,548180.0911000001
13.08.2017 21:00:00.000,1.29801,1.30217,1.28313,1.28723,633752.6099999999
20.08.2017 21:00:00.000,1.28563,1.29163,1.27738,1.28761,592696.5389999999
27.08.2017 21:00:00.000,1.29246,1.29951,1.28526,1.29507,670287.7807000002
03.09.2017 21:00:00.000,1.29602,1.32240,1.29088,1.31915,710290.2576
10.09.2017 21:00:00.000,1.31811,1.36165,1.31488,1.35937,763241.9391999999
17.09.2017 21:00:00.000,1.35556,1.36574,1.34496,1.34934,1020675.2415999997
24.09.2017 21:00:00.000,1.34855,1.35706,1.33429,1.33953,801982.7535999998
01.10.2017 21:00:00.000,1.33689,1.34021,1.30270,1.30645,739340.2982000002
08.10.2017 21:00:00.000,1.30886,1.33375,1.30747,1.32823,677877.1086999997
15.10.2017 21:00:00.000,1.32858,1.33115,1.30876,1.31871,696402.1092999999
22.10.2017 21:00:00.000,1.31817,1.32790,1.30697,1.31247,669356.6786000001
29.10.2017 21:00:00.000,1.31087,1.33206,1.30390,1.30738,682529.1181000002
05.11.2017 22:00:00.000,1.30678,1.32292,1.30583,1.31881,725831.7642
12.11.2017 22:00:00.000,1.31620,1.32601,1.30619,1.32156,760603.8470000004
19.11.2017 22:00:00.000,1.32175,1.33600,1.31854,1.33346,673104.5707
26.11.2017 22:00:00.000,1.33219,1.35491,1.32208,1.34746,896088.2433999995
03.12.2017 22:00:00.000,1.34338,1.35383,1.33198,1.33789,867697.9831999998
10.12.2017 22:00:00.000,1.33735,1.34658,1.33013,1.33269,884142.7545999998
17.12.2017 22:00:00.000,1.33095,1.34199,1.33095,1.33541,833437.4710999998
