Gmt time,Open,High,Low,Close,Volume
30.04.2017 21:00:00.000,1.29267,1.30476,1.27692,1.28881,3267796.051199999
31.05.2017 21:00:00.000,1.28881,1.30298,1.25890,1.30183,3043756.098900001
30.06.2017 21:00:00.000,1.30039,1.32236,1.28116,1.32134,2796855.1832999983
31.07.2017 21:00:00.000,1.32141,1.32679,1.27738,1.29286,2790584.7297000005
31.08.2017 21:00:00.000,1.29286,1.36574,1.29051,1.33953,3434285.742799998
30.09.2017 21:00:00.000,1.33689,1.34021,1.30270,1.32821,3018890.444599999
31.10.2017 21:00:00.000,1.32808,1.35486,1.30390,1.35240,3297115.6913999966
30.11.2017 22:00:00.000,1.35240,1.35491,1.33013,1.34944,3375464.809300005
31.12.2017 22:00:00.000,1.35065,1.43451,1.34579,1.41902,4512083.6965
31.01.2018 22:00:00.000,1.41890,1.42781,1.37564,1.37590,4771464.256999996
28.02.2018 22:00:00.000,1.37591,1.42442,1.37115,1.40088,3537430.755999999
31.03.2018 21:00:00.000,1.40224,1.43763,1.37125,1.37550,2593965.4787000003
30.04.2018 21:00:00.000,1.37547,1.37725,1.32044,1.32957,3994404.7962999963
31.05.2018 21:00:00.000,1.32953,1.34722,1.30495,1.32040,3350798.757200001
30.06.2018 21:00:00.000,1.31825,1.33625,1.29574,1.31220,3505784.436799999
31.07.2018 21:00:00.000,1.31208,1.31440,1.26617,1.29528,3150339.625700001
31.08.2018 21:00:00.000,1.29095,1.32980,1.27851,1.30278,2901802.2699
30.09.2018 21:00:00.000,1.30371,1.32575,1.26905,1.27644,3710047.759400001
31.10.2018 21:00:00.000,1.27648,1.31744,1.27232,1.27509,3692515.221099997
30.11.2018 22:00:00.000,1.27644,1.28394,1.24766,1.27526,3974352.142000001
31.12.2018 22:00:00.000,1.27459,1.32172,1.24250,1.31062,5147348.7584000025
31.01.2019 22:00:00.000,1.31062,1.33499,1.27727,1.32613,4488458.502099997
28.02.2019 22:00:00.000,1.32608,1.33808,1.29604,1.30294,5106144.589599999
31.03.2019 21:00:00.000,1.30368,1.31956,1.28654,1.30294,3951647.585199998
30.04.2019 21:00:00.000,1.30283,1.31762,1.25590,1.26291,3210306.819699998
31.05.2019 21:00:00.000,1.26277,1.27836,1.25058,1.26916,3349815.6171000022
30.06.2019 21:00:00.000,1.26968,1.27053,1.21185,1.21573,3238203.543600002
31.07.2019 21:00:00.000,1.21513,1.23097,1.20148,1.21573,4397106.649799999
31.08.2019 21:00:00.000,1.21472,1.25821,1.19581,1.22835,3613609.158900002
30.09.2019 21:00:00.000,1.22834,1.30120,1.21949,1.29404,4240736.808600001
31.10.2019 21:00:00.000,1.29392,1.29854,1.27684,1.29132,2523660.045799999
30.11.2019 22:00:00.000,1.29093,1.35149,1.28959,1.32559,3097318.343099997
31.12.2019 22:00:00.000,1.32463,1.32661,1.29542,1.30158,3030207.295666971
